Employee_ID,Name,Age,Gender,City,Process_Country,Department,Process_Type,Shift
BPO10029,Sandy Gates,24,Male,Chennai,USA,Cruise Booking,Email Support,Rotational
BPO10030,Miss Kayleigh Griffin,48,Male,Bangalore,UK,Flight Reservations,Email Support,Night Shift (UK)
BPO10031,Michelle Cowan,28,Male,Noida,USA,Refunds & Cancellations,Email Support,Night Shift (US)
BPO10032,John Long-Turner,26,Female,Kolkata,UK,Customer Support,Inbound Voice,Rotational
BPO10033,Karen Ray,22,Male,Bangalore,USA,Customer Support,Outbound Voice,Rotational
BPO10034,Sarah Williams-Palmer,36,Male,Chennai,UK,Flight Reservations,Outbound Voice,Rotational
BPO10035,Joseph Ingram,33,Female,Kolkata,USA,Travel Insurance,Email Support,Rotational
BPO10036,Kaylee Hoffman,27,Female,Noida,USA,Flight Reservations,Blended,Day Shift
BPO10037,Antony Harvey,22,Male,Kolkata,UK,Refunds & Cancellations,Blended,Night Shift (US)
BPO10038,Annette Norris,37,Male,Gurgaon,USA,Hotel Booking,Blended,Day Shift
BPO10039,Phyllis Mcneil,33,Male,Noida,USA,Flight Reservations,Blended,Day Shift
BPO10040,Charlie Graham-Hewitt,42,Female,Hyderabad,UK,Customer Support,Chat Support,Night Shift (US)
BPO10041,Mrs Mary Hunt,33,Male,Hyderabad,UK,Corporate Travel Desk,Chat Support,Day Shift
BPO10042,Todd Lee,35,Male,Bangalore,USA,Refunds & Cancellations,Outbound Voice,Night Shift (UK)
BPO10043,Cynthia Weiss,32,Male,Noida,USA,Cruise Booking,Chat Support,Night Shift (US)
BPO10044,Abbie Clarke,47,Female,Pune,UK,Refunds & Cancellations,Chat Support,Day Shift
BPO10045,Amy Benson,29,Male,Bangalore,USA,Refunds & Cancellations,Outbound Voice,Night Shift (UK)
BPO10046,Terry Scott-Holmes,40,Male,Mumbai,UK,Customer Support,Chat Support,Rotational
BPO10047,Conor Anderson,48,Male,Bangalore,UK,Holiday Packages,Chat Support,Day Shift
BPO10048,Rose Rodriguez,31,Male,Hyderabad,USA,Visa Processing,Email Support,Rotational
BPO10049,Briana English,24,Male,Gurgaon,USA,Refunds & Cancellations,Inbound Voice,Night Shift (UK)
BPO10050,Ashley Gonzales,34,Male,Pune,USA,Travel Insurance,Chat Support,Day Shift
BPO10051,Marilyn O'Neill,27,Male,Bangalore,UK,Cruise Booking,Blended,Rotational
BPO10052,Cameron Martinez,28,Male,Gurgaon,USA,Holiday Packages,Inbound Voice,Night Shift (US)
BPO10053,Stacey Robinson,46,Female,Noida,UK,Travel Insurance,Outbound Voice,Day Shift
BPO10054,Dr Hilary Sullivan,48,Male,Kolkata,UK,Customer Support,Outbound Voice,Rotational
BPO10055,Mrs Sharon Newman,30,Male,Noida,UK,Flight Reservations,Outbound Voice,Rotational
BPO10056,Keith Smith,29,Male,Hyderabad,UK,Cruise Booking,Blended,Rotational
BPO10057,Mr Craig Hughes,21,Male,Hyderabad,UK,Visa Processing,Blended,Night Shift (UK)
BPO10058,Michael Lawson,24,Female,Mumbai,USA,Cruise Booking,Email Support,Day Shift
BPO10059,Kyle Anderson,39,Male,Hyderabad,UK,Flight Reservations,Email Support,Day Shift
BPO10060,Frederick Fox,32,Female,Bangalore,USA,Cruise Booking,Blended,Night Shift (UK)
BPO10061,Ashley Watkins,44,Female,Hyderabad,USA,Holiday Packages,Chat Support,Rotational
BPO10062,Karl Powell,38,Male,Noida,UK,Holiday Packages,Email Support,Night Shift (US)
BPO10063,Clive Wilson,33,Male,Hyderabad,UK,Travel Insurance,Outbound Voice,Rotational
BPO10064,Miss Amanda Day,35,Female,Kolkata,UK,Customer Support,Blended,Rotational
BPO10065,Laurie Harper,42,Male,Hyderabad,USA,Refunds & Cancellations,Blended,Night Shift (UK)
BPO10066,Sean Lara,47,Male,Hyderabad,USA,Customer Support,Outbound Voice,Night Shift (US)
BPO10067,Jeff Coffey,22,Male,Kolkata,USA,Hotel Booking,Email Support,Rotational
BPO10068,Mary Howard,43,Female,Kolkata,USA,Holiday Packages,Outbound Voice,Night Shift (US)
BPO10069,Jennifer Wilcox,45,Male,Chennai,USA,Customer Support,Outbound Voice,Rotational
BPO10070,Nicole Barrett,38,Male,Bangalore,USA,Corporate Travel Desk,Outbound Voice,Rotational
BPO10071,Ann Smith,45,Female,Chennai,UK,Refunds & Cancellations,Email Support,Night Shift (US)
BPO10072,Mr Elliott Stevens,35,Female,Noida,UK,Travel Insurance,Blended,Rotational
BPO10073,Dana Gonzalez DVM,29,Female,Bangalore,USA,Travel Insurance,Outbound Voice,Night Shift (UK)
BPO10074,Beth Rees,31,Male,Gurgaon,UK,Visa Processing,Outbound Voice,Rotational
BPO10075,Carrie Rogers,43,Male,Bangalore,USA,Holiday Packages,Email Support,Night Shift (UK)
BPO10076,Mr Luke Hughes,34,Male,Noida,UK,Holiday Packages,Email Support,Day Shift
BPO10077,Jacqueline Green,36,Male,Mumbai,UK,Travel Insurance,Email Support,Rotational
BPO10078,Jeffrey Johnson,36,Male,Hyderabad,USA,Holiday Packages,Email Support,Day Shift
BPO10079,Dr James Oliver,31,Female,Gurgaon,UK,Corporate Travel Desk,Outbound Voice,Day Shift
BPO10080,Luke Harrison,39,Male,Bangalore,UK,Holiday Packages,Outbound Voice,Rotational
BPO10081,Jacqueline Waters,22,Female,Chennai,USA,Cruise Booking,Outbound Voice,Rotational
BPO10082,Dr Marilyn Marsden,31,Female,Hyderabad,UK,Holiday Packages,Chat Support,Day Shift
BPO10083,Mrs Annette Rose,21,Male,Mumbai,UK,Customer Support,Inbound Voice,Day Shift
BPO10084,Sandra Carlson,28,Male,Pune,USA,Visa Processing,Outbound Voice,Night Shift (US)
BPO10085,Ms Rosemary Goddard,42,Male,Noida,UK,Corporate Travel Desk,Chat Support,Night Shift (UK)
BPO10086,James Russell,40,Male,Gurgaon,USA,Travel Insurance,Inbound Voice,Day Shift
BPO10087,Rhys Harvey,39,Female,Chennai,UK,Customer Support,Inbound Voice,Night Shift (US)
BPO10088,Brittney Torres,43,Female,Bangalore,USA,Flight Reservations,Chat Support,Rotational
BPO10089,Marc Bibi,23,Female,Pune,UK,Holiday Packages,Email Support,Day Shift
BPO10090,Stephen Andrews,32,Female,Gurgaon,UK,Holiday Packages,Outbound Voice,Night Shift (UK)
BPO10091,Kerry Holmes,35,Female,Hyderabad,UK,Cruise Booking,Outbound Voice,Day Shift
BPO10092,Ms Marion Patel,35,Male,Kolkata,UK,Holiday Packages,Chat Support,Day Shift
BPO10093,Jennifer Carroll-Johnson,48,Female,Gurgaon,UK,Corporate Travel Desk,Outbound Voice,Night Shift (UK)
BPO10094,Shannon Howe,31,Female,Hyderabad,UK,Refunds & Cancellations,Inbound Voice,Night Shift (US)
BPO10095,Laura Maxwell,28,Female,Kolkata,USA,Refunds & Cancellations,Outbound Voice,Rotational
BPO10096,Chelsea Wyatt,35,Male,Bangalore,UK,Travel Insurance,Outbound Voice,Rotational
BPO10097,Austin Harris,30,Female,Kolkata,USA,Refunds & Cancellations,Blended,Night Shift (UK)
BPO10098,Mr Vincent Cox,44,Female,Mumbai,UK,Corporate Travel Desk,Chat Support,Night Shift (UK)
BPO10099,Mitchell Ross,28,Male,Noida,UK,Cruise Booking,Inbound Voice,Night Shift (US)
BPO10100,Daniel Dominguez,27,Female,Hyderabad,USA,Refunds & Cancellations,Blended,Night Shift (UK)
BPO10101,Michael Wallace,47,Male,Hyderabad,USA,Customer Support,Chat Support,Night Shift (US)
BPO10102,Mitchell Williams,21,Male,Hyderabad,UK,Flight Reservations,Inbound Voice,Night Shift (UK)
BPO10103,Julie Anderson,41,Female,Bangalore,USA,Flight Reservations,Blended,Night Shift (UK)
BPO10104,Miss Leanne Bryan,36,Female,Mumbai,UK,Visa Processing,Inbound Voice,Night Shift (UK)
BPO10105,Callum Henderson,24,Male,Chennai,UK,Corporate Travel Desk,Inbound Voice,Day Shift
BPO10106,James Mcmillan,25,Female,Bangalore,USA,Customer Support,Inbound Voice,Rotational
BPO10107,Benjamin Mendoza,45,Female,Kolkata,USA,Corporate Travel Desk,Chat Support,Rotational
BPO10108,Dr Trevor Walsh,39,Male,Bangalore,UK,Customer Support,Outbound Voice,Night Shift (UK)
BPO10109,Troy Lopez,26,Male,Gurgaon,USA,Refunds & Cancellations,Inbound Voice,Night Shift (US)
BPO10110,Kevin Stevenson,34,Female,Kolkata,USA,Travel Insurance,Inbound Voice,Night Shift (US)
BPO10111,Neil Garner,43,Female,Kolkata,UK,Hotel Booking,Outbound Voice,Night Shift (UK)
BPO10112,Joshua Rivera,34,Male,Noida,USA,Visa Processing,Chat Support,Night Shift (US)
BPO10113,Emily Marshall,22,Male,Hyderabad,USA,Travel Insurance,Email Support,Day Shift
BPO10114,Lisa Evans,43,Female,Chennai,UK,Travel Insurance,Blended,Rotational
BPO10115,Julia Bailey,23,Male,Chennai,UK,Cruise Booking,Blended,Night Shift (UK)
BPO10116,Lisa Barnes,23,Male,Pune,USA,Travel Insurance,Blended,Day Shift
BPO10117,Brenda Shepherd PhD,36,Female,Hyderabad,USA,Visa Processing,Blended,Rotational
BPO10118,Gareth Hudson,23,Female,Mumbai,UK,Holiday Packages,Chat Support,Night Shift (UK)
BPO10119,Kaylee Flores,48,Male,Mumbai,USA,Holiday Packages,Email Support,Night Shift (UK)
BPO10120,Dr Joseph Warren,47,Male,Kolkata,UK,Hotel Booking,Chat Support,Night Shift (UK)
BPO10121,Dr Kimberley Johnson,24,Female,Pune,UK,Refunds & Cancellations,Email Support,Rotational
BPO10122,Daniel Reyes,27,Female,Kolkata,USA,Corporate Travel Desk,Inbound Voice,Night Shift (US)
BPO10123,Dr Claire Hill,38,Male,Hyderabad,UK,Corporate Travel Desk,Email Support,Day Shift
BPO10124,Lindsey Lopez,41,Male,Gurgaon,USA,Travel Insurance,Blended,Day Shift
BPO10125,Jennifer Gibson-Parkin,23,Male,Bangalore,UK,Corporate Travel Desk,Inbound Voice,Night Shift (US)
BPO10126,Jack Read-Mann,43,Female,Hyderabad,UK,Holiday Packages,Email Support,Rotational
BPO10127,Tonya Barker,35,Male,Chennai,USA,Customer Support,Blended,Night Shift (US)
BPO10128,Ellen Hall,29,Female,Mumbai,USA,Refunds & Cancellations,Chat Support,Day Shift
BPO10129,Valerie Rees,44,Female,Kolkata,UK,Visa Processing,Email Support,Rotational
BPO10130,Mr Anthony Marsh,31,Female,Kolkata,UK,Cruise Booking,Outbound Voice,Night Shift (US)
BPO10131,Georgina Davies,28,Female,Pune,UK,Cruise Booking,Email Support,Rotational
BPO10132,Allan Bradley,42,Male,Kolkata,UK,Flight Reservations,Outbound Voice,Night Shift (UK)
BPO10133,Brian Diaz,48,Female,Bangalore,USA,Refunds & Cancellations,Email Support,Day Shift
BPO10134,Jessica Elliott,34,Male,Bangalore,USA,Corporate Travel Desk,Chat Support,Night Shift (UK)
BPO10135,Lee Pope,41,Male,Mumbai,UK,Refunds & Cancellations,Email Support,Night Shift (UK)
BPO10136,Simon Lucas,48,Male,Bangalore,UK,Customer Support,Chat Support,Night Shift (US)
BPO10137,Erik Wood,34,Male,Bangalore,USA,Corporate Travel Desk,Outbound Voice,Night Shift (UK)
BPO10138,Randall Martinez DDS,22,Female,Pune,USA,Travel Insurance,Chat Support,Night Shift (UK)
BPO10139,Leah Webb,25,Male,Chennai,UK,Visa Processing,Outbound Voice,Night Shift (US)
BPO10140,Meghan Brown,40,Female,Noida,USA,Corporate Travel Desk,Blended,Night Shift (US)
BPO10141,Anthony Krueger,35,Female,Kolkata,USA,Travel Insurance,Inbound Voice,Rotational
BPO10142,Max Mills,42,Male,Bangalore,UK,Corporate Travel Desk,Chat Support,Night Shift (UK)
BPO10143,Dr Paige Swift,43,Female,Kolkata,UK,Travel Insurance,Outbound Voice,Rotational
BPO10144,Jemma Hartley,24,Male,Chennai,UK,Cruise Booking,Blended,Night Shift (UK)
BPO10145,Phillip Rowley,21,Female,Hyderabad,UK,Flight Reservations,Blended,Day Shift
BPO10146,Joel Bartlett,47,Female,Noida,UK,Cruise Booking,Outbound Voice,Night Shift (US)
BPO10147,Marcus Coles,42,Male,Bangalore,UK,Flight Reservations,Chat Support,Rotational
BPO10148,Joshua Mckenzie,39,Female,Gurgaon,USA,Hotel Booking,Chat Support,Night Shift (UK)
BPO10149,Cameron Gordon-Jones,26,Male,Gurgaon,UK,Refunds & Cancellations,Chat Support,Night Shift (UK)
BPO10150,Nicole Conway,29,Female,Hyderabad,USA,Cruise Booking,Inbound Voice,Rotational
BPO10151,Bob Brock,25,Male,Chennai,USA,Refunds & Cancellations,Chat Support,Day Shift
BPO10152,Glenn Hartley,21,Female,Bangalore,UK,Corporate Travel Desk,Chat Support,Night Shift (UK)
BPO10153,Owen Brookes,47,Female,Bangalore,UK,Customer Support,Email Support,Day Shift
BPO10154,Mohammed Whitehead,40,Male,Bangalore,UK,Corporate Travel Desk,Chat Support,Rotational
BPO10155,Denise Higgins,25,Male,Pune,USA,Travel Insurance,Email Support,Day Shift
BPO10156,Alexis Martinez,28,Male,Chennai,USA,Corporate Travel Desk,Chat Support,Rotational
BPO10157,Katie Sullivan,34,Male,Kolkata,USA,Holiday Packages,Chat Support,Day Shift
BPO10158,Roy Vaughan,27,Female,Kolkata,UK,Customer Support,Chat Support,Day Shift
BPO10159,Benjamin Gibson-Cooper,38,Female,Pune,UK,Holiday Packages,Chat Support,Night Shift (US)
BPO10160,Todd Manning,48,Female,Bangalore,USA,Customer Support,Blended,Day Shift
BPO10161,William Smith,46,Female,Noida,USA,Visa Processing,Blended,Night Shift (US)
BPO10162,Alexis King,47,Male,Noida,USA,Customer Support,Chat Support,Night Shift (US)
BPO10163,Michael Johnson,29,Male,Gurgaon,USA,Refunds & Cancellations,Chat Support,Night Shift (US)
BPO10164,Kevin Stewart,42,Male,Gurgaon,USA,Flight Reservations,Chat Support,Night Shift (US)
BPO10165,Dr Amy Hart,21,Male,Hyderabad,UK,Flight Reservations,Outbound Voice,Rotational
BPO10166,Samantha Zimmerman,44,Male,Kolkata,USA,Corporate Travel Desk,Chat Support,Day Shift
BPO10167,Dr Trevor Clark,37,Male,Pune,UK,Refunds & Cancellations,Chat Support,Rotational
BPO10168,Sharon King,22,Female,Chennai,USA,Holiday Packages,Inbound Voice,Rotational
BPO10169,Abdul Owen-Read,23,Male,Mumbai,UK,Visa Processing,Inbound Voice,Night Shift (US)
BPO10170,Lawrence Mason-Birch,40,Female,Chennai,UK,Refunds & Cancellations,Chat Support,Rotational
BPO10171,Pamela Harris,24,Male,Noida,UK,Holiday Packages,Email Support,Night Shift (US)
BPO10172,Jay Dixon,31,Female,Chennai,UK,Holiday Packages,Inbound Voice,Night Shift (UK)
BPO10173,Leanne Newton,31,Female,Mumbai,UK,Visa Processing,Email Support,Day Shift
BPO10174,David Robinson Jr.,47,Male,Bangalore,USA,Holiday Packages,Inbound Voice,Night Shift (UK)
BPO10175,Adrian Barnes,38,Male,Mumbai,USA,Hotel Booking,Email Support,Night Shift (UK)
BPO10176,Tom Leonard,48,Male,Hyderabad,UK,Travel Insurance,Chat Support,Day Shift
BPO10177,Isaac Steele,25,Female,Noida,USA,Hotel Booking,Chat Support,Night Shift (UK)
BPO10178,Mark Ortiz,45,Female,Noida,USA,Holiday Packages,Blended,Day Shift
BPO10179,Chloe Jones,21,Male,Hyderabad,UK,Travel Insurance,Chat Support,Night Shift (UK)
BPO10180,Jake Bailey,26,Male,Chennai,USA,Hotel Booking,Outbound Voice,Day Shift
BPO10181,Amanda Golden,44,Male,Chennai,USA,Holiday Packages,Email Support,Night Shift (UK)
BPO10182,Robert Simmons,32,Female,Mumbai,USA,Hotel Booking,Inbound Voice,Night Shift (US)
BPO10183,Jennifer Fernandez,45,Male,Bangalore,USA,Travel Insurance,Email Support,Rotational
BPO10184,Raymond Rowley,40,Female,Chennai,UK,Travel Insurance,Outbound Voice,Day Shift
BPO10185,Georgina Lane,34,Male,Hyderabad,UK,Corporate Travel Desk,Blended,Night Shift (UK)
BPO10186,Scott Rios,28,Female,Pune,USA,Flight Reservations,Outbound Voice,Night Shift (UK)
BPO10187,David Perez,45,Male,Hyderabad,USA,Travel Insurance,Chat Support,Day Shift
BPO10188,Charles Washington,36,Female,Gurgaon,USA,Visa Processing,Email Support,Night Shift (US)
BPO10189,Miss Sandra Singh,23,Female,Pune,UK,Holiday Packages,Inbound Voice,Rotational
BPO10190,Wanda Watson,48,Female,Chennai,USA,Holiday Packages,Email Support,Night Shift (UK)
BPO10191,Michael West Jr.,33,Male,Mumbai,USA,Visa Processing,Blended,Rotational
BPO10192,Dr Suzanne Brown,23,Female,Bangalore,UK,Customer Support,Email Support,Rotational
BPO10193,Joseph Rodriguez,33,Female,Mumbai,USA,Customer Support,Chat Support,Night Shift (US)
BPO10194,Melinda Hardy,37,Male,Noida,USA,Cruise Booking,Chat Support,Night Shift (US)
BPO10195,Kaitlyn Sims,24,Male,Hyderabad,USA,Customer Support,Outbound Voice,Night Shift (US)
BPO10196,James Perry,26,Female,Kolkata,USA,Corporate Travel Desk,Blended,Night Shift (UK)
BPO10197,Dorothy Thomas-Todd,25,Female,Bangalore,UK,Corporate Travel Desk,Email Support,Night Shift (UK)
BPO10198,Geoffrey Byrne,39,Male,Mumbai,UK,Refunds & Cancellations,Inbound Voice,Night Shift (UK)
BPO10199,Ashleigh Matthews-Cooper,35,Male,Pune,UK,Cruise Booking,Chat Support,Day Shift
BPO10200,Kayla Brown MD,40,Female,Kolkata,USA,Refunds & Cancellations,Inbound Voice,Rotational
BPO10201,Shawn Barajas,31,Female,Gurgaon,USA,Flight Reservations,Email Support,Day Shift
BPO10202,Dylan Cole,43,Male,Gurgaon,UK,Flight Reservations,Outbound Voice,Rotational
BPO10203,Mary Clarke,37,Male,Mumbai,UK,Cruise Booking,Chat Support,Rotational
BPO10204,Hayley Chambers,45,Female,Pune,UK,Cruise Booking,Inbound Voice,Night Shift (UK)
BPO10205,Tony Martinez,38,Female,Hyderabad,USA,Travel Insurance,Blended,Night Shift (US)
BPO10206,Diana Wright,23,Male,Mumbai,UK,Travel Insurance,Email Support,Night Shift (US)
BPO10207,Marc Hoffman DDS,30,Female,Mumbai,USA,Visa Processing,Blended,Day Shift
BPO10208,Ms Catherine Williams,37,Female,Pune,UK,Cruise Booking,Chat Support,Night Shift (US)
BPO10209,Thomas Fischer,31,Female,Noida,USA,Customer Support,Outbound Voice,Night Shift (US)
BPO10210,Melissa White,30,Male,Pune,USA,Cruise Booking,Blended,Night Shift (US)
BPO10211,Ms Emily Kirk,25,Male,Gurgaon,UK,Visa Processing,Email Support,Day Shift
BPO10212,Dr Justin Holland,32,Male,Kolkata,UK,Travel Insurance,Email Support,Night Shift (US)
BPO10213,Olivia Lawrence,30,Female,Noida,USA,Cruise Booking,Blended,Rotational
BPO10214,Brian Ashton-Carter,45,Female,Chennai,UK,Refunds & Cancellations,Blended,Rotational
BPO10215,Caleb Wright,47,Male,Gurgaon,USA,Travel Insurance,Inbound Voice,Rotational
BPO10216,Dr Leanne Ford,38,Male,Bangalore,UK,Travel Insurance,Inbound Voice,Night Shift (US)
BPO10217,Edward Hilton-Kent,35,Male,Chennai,UK,Hotel Booking,Outbound Voice,Rotational
BPO10218,Samuel Turner-Haynes,21,Female,Pune,UK,Holiday Packages,Blended,Night Shift (UK)
BPO10219,Sandra Vega,33,Male,Mumbai,USA,Customer Support,Inbound Voice,Night Shift (UK)
BPO10220,Robert Beck,47,Female,Gurgaon,USA,Visa Processing,Inbound Voice,Night Shift (UK)
BPO10221,Carol Jones,43,Male,Kolkata,UK,Corporate Travel Desk,Blended,Day Shift
BPO10222,Leslie Boyd,21,Female,Noida,USA,Visa Processing,Blended,Rotational
BPO10223,Donna Long,45,Female,Noida,USA,Travel Insurance,Inbound Voice,Day Shift
BPO10224,Janet Gaines,34,Female,Bangalore,USA,Hotel Booking,Email Support,Day Shift
BPO10225,Barbara Ramos,43,Male,Hyderabad,USA,Holiday Packages,Inbound Voice,Night Shift (UK)
BPO10226,Stephanie Burns,39,Female,Gurgaon,USA,Hotel Booking,Blended,Night Shift (UK)
BPO10227,Theresa Bright,37,Male,Chennai,USA,Corporate Travel Desk,Inbound Voice,Rotational
BPO10228,Denise Miah-Hale,29,Male,Mumbai,UK,Hotel Booking,Chat Support,Night Shift (US)
BPO10229,Ashley Jordan,45,Female,Gurgaon,USA,Flight Reservations,Chat Support,Night Shift (UK)
BPO10230,Michael Duffy,47,Female,Kolkata,USA,Visa Processing,Outbound Voice,Day Shift
BPO10231,Maureen Baker-Clarke,22,Female,Noida,UK,Flight Reservations,Outbound Voice,Day Shift
BPO10232,Miss Emma Adams,30,Female,Kolkata,UK,Travel Insurance,Inbound Voice,Night Shift (US)
BPO10233,Tom Harvey,32,Male,Mumbai,UK,Travel Insurance,Inbound Voice,Night Shift (UK)
BPO10234,Elliot Dean-Barlow,33,Female,Chennai,UK,Cruise Booking,Outbound Voice,Rotational
BPO10235,Jamie Banks,32,Female,Bangalore,UK,Holiday Packages,Inbound Voice,Rotational
BPO10236,Mark Blanchard,38,Female,Mumbai,USA,Hotel Booking,Inbound Voice,Night Shift (UK)
BPO10237,Ms Stephanie Howard,30,Female,Chennai,UK,Visa Processing,Email Support,Night Shift (UK)
BPO10238,Charlotte Goddard,22,Female,Chennai,UK,Travel Insurance,Inbound Voice,Day Shift
BPO10239,Tom Douglas,32,Male,Pune,UK,Visa Processing,Blended,Rotational
BPO10240,William Wood,25,Male,Noida,USA,Cruise Booking,Chat Support,Rotational
BPO10241,Kristen Davis,40,Male,Kolkata,USA,Cruise Booking,Chat Support,Rotational
BPO10242,Carla Richards,39,Male,Mumbai,USA,Holiday Packages,Chat Support,Night Shift (UK)
BPO10243,Thomas Andrews,24,Male,Gurgaon,USA,Corporate Travel Desk,Blended,Rotational
BPO10244,Cole Price,29,Female,Kolkata,USA,Customer Support,Blended,Night Shift (UK)
BPO10245,Eric Morris,27,Male,Gurgaon,UK,Hotel Booking,Email Support,Night Shift (US)
BPO10246,Mrs Emily Howard,23,Female,Mumbai,UK,Hotel Booking,Blended,Night Shift (UK)
BPO10247,Denise Harris-Hall,48,Male,Gurgaon,UK,Cruise Booking,Blended,Night Shift (US)
BPO10248,Peggy Kennedy,27,Male,Noida,USA,Corporate Travel Desk,Inbound Voice,Night Shift (UK)
BPO10249,Mr Marc Thomas,35,Male,Bangalore,UK,Hotel Booking,Chat Support,Rotational
BPO10250,Emma Kerr-Wallis,37,Female,Chennai,UK,Hotel Booking,Outbound Voice,Night Shift (UK)
BPO10251,Anthony Dawson,35,Female,Mumbai,USA,Visa Processing,Blended,Night Shift (US)
BPO10252,Diana Hernandez,34,Male,Bangalore,USA,Refunds & Cancellations,Outbound Voice,Night Shift (UK)
BPO10253,Shawn Jones,26,Female,Noida,USA,Cruise Booking,Blended,Night Shift (UK)
BPO10254,Jesus Livingston,29,Male,Hyderabad,USA,Visa Processing,Chat Support,Day Shift
BPO10255,Joseph Griffin,39,Male,Gurgaon,USA,Cruise Booking,Blended,Day Shift
BPO10256,Jennifer Woods,23,Male,Hyderabad,USA,Customer Support,Blended,Rotational
BPO10257,Tammy Wilson,36,Female,Hyderabad,USA,Corporate Travel Desk,Outbound Voice,Rotational
BPO10258,Diane Edwards,35,Male,Pune,UK,Visa Processing,Email Support,Rotational
BPO10259,Miss Donna Lewis,35,Male,Mumbai,UK,Visa Processing,Chat Support,Night Shift (UK)
BPO10260,Alex Bryant,33,Male,Mumbai,UK,Refunds & Cancellations,Blended,Day Shift
BPO10261,Paul Smith,28,Female,Bangalore,UK,Travel Insurance,Email Support,Night Shift (US)
BPO10262,Scott Simpson,24,Male,Hyderabad,USA,Holiday Packages,Blended,Rotational
BPO10263,Megan Brown,48,Male,Mumbai,USA,Cruise Booking,Outbound Voice,Night Shift (US)
BPO10264,Leigh Atkinson-Morgan,37,Female,Kolkata,UK,Travel Insurance,Email Support,Day Shift
BPO10265,Vanessa Levine,33,Female,Noida,USA,Customer Support,Blended,Night Shift (UK)
BPO10266,Joshua Mccann,22,Female,Kolkata,USA,Corporate Travel Desk,Chat Support,Day Shift
BPO10267,Christopher King,34,Male,Hyderabad,USA,Cruise Booking,Email Support,Night Shift (UK)
BPO10268,Allison Hodge,33,Male,Noida,USA,Cruise Booking,Blended,Night Shift (UK)
BPO10269,Jessica Landry,33,Female,Hyderabad,USA,Hotel Booking,Outbound Voice,Day Shift
BPO10270,Lisa Reed,32,Female,Mumbai,UK,Visa Processing,Outbound Voice,Rotational
BPO10271,Diane Miller,22,Male,Gurgaon,USA,Cruise Booking,Email Support,Rotational
BPO10272,Peggy Schaefer,40,Male,Mumbai,USA,Cruise Booking,Outbound Voice,Rotational
BPO10273,Mr Roy Moore,39,Female,Kolkata,UK,Travel Insurance,Email Support,Day Shift
